model	d	lambda	eta_max	eta_used	iters	max_diff_AD_analytic	max_diff_GD_ClosedForm	MSE	R2
OLS	1	0	1	0.5	2	1.73472e-18	0	0.105792	-0.00453997
Ridge	1	0.1	0.909091	0.454545	2	1.73472e-18	8.67362e-19	0.105769	-0.00431296
Ridge	1	1.6681	0.374798	0.187399	2	1.73472e-18	8.67362e-19	0.105647	-0.00315931
Ridge	1	27.8256	0.0346914	0.0173457	2	1.73472e-18	5.42101e-20	0.105587	-0.00258572
Ridge	1	464.159	0.0021498	0.0010749	2	1.73472e-18	3.38813e-21	0.105582	-0.00253739
Ridge	1	7742.64	0.000129138	6.45691e-05	2	1.73472e-18	4.23516e-22	0.105581	-0.00253443
Ridge	1	129155	7.74258e-06	3.87129e-06	2	1.73472e-18	3.30872e-23	0.105581	-0.00253425
Ridge	1	2.15443e+06	4.64159e-07	2.32079e-07	1	1.73472e-18	0	0.105581	-0.00253424
Ridge	1	3.59381e+07	2.78256e-08	1.39128e-08	1	1.73472e-18	5.16988e-26	0.105581	-0.00253424
Ridge	1	5.99484e+08	1.6681e-09	8.3405e-10	1	1.73472e-18	1.61559e-27	0.105581	-0.00253424
Ridge	1	1e+10	1e-10	5e-11	1	1.73472e-18	1.00974e-28	0.105581	-0.00253424
OLS	2	0	0.930632	0.465316	10	6.93889e-18	2.92967e-10	0.0540119	0.487136
Ridge	2	0.1	0.851398	0.425699	9	6.93889e-18	8.55577e-10	0.0544947	0.482551
Ridge	2	1.6681	0.364612	0.182306	7	6.93889e-18	5.5473e-11	0.0745355	0.292257
Ridge	2	27.8256	0.0346019	0.017301	4	6.93889e-18	2.52736e-12	0.102128	0.0302542
Ridge	2	464.159	0.00214946	0.00107473	3	6.93889e-18	7.26063e-15	0.105364	-0.000469764
Ridge	2	7742.64	0.000129137	6.45685e-05	2	6.93889e-18	4.91198e-15	0.105568	-0.0024101
Ridge	2	129155	7.74257e-06	3.87129e-06	2	6.93889e-18	1.05964e-18	0.10558	-0.0025268
Ridge	2	2.15443e+06	4.64159e-07	2.32079e-07	2	6.93889e-18	2.64698e-22	0.105581	-0.00253379
Ridge	2	3.59381e+07	2.78256e-08	1.39128e-08	1	6.93889e-18	1.1846e-17	0.105581	-0.00253421
Ridge	2	5.99484e+08	1.6681e-09	8.3405e-10	1	6.93889e-18	4.25722e-20	0.105581	-0.00253424
Ridge	2	1e+10	1e-10	5e-11	1	6.93889e-18	1.52997e-22	0.105581	-0.00253424
OLS	3	0	0.519744	0.259872	200	6.93889e-18	1.40774e-07	0.054013	0.487125
Ridge	3	0.1	0.494065	0.247033	98	6.93889e-18	6.39218e-08	0.0544996	0.482506
Ridge	3	1.6681	0.278387	0.139193	15	6.93889e-18	4.66869e-09	0.074564	0.291986
Ridge	3	27.8256	0.0336139	0.0168069	5	6.93889e-18	2.25392e-10	0.102142	0.0301211
Ridge	3	464.159	0.00214554	0.00107277	3	6.93889e-18	3.64825e-12	0.105365	-0.0004789
Ridge	3	7742.64	0.000129123	6.45614e-05	2	6.93889e-18	3.94139e-13	0.105568	-0.00241066
Ridge	3	129155	7.74252e-06	3.87126e-06	2	6.93889e-18	8.49646e-17	0.10558	-0.00252683
Ridge	3	2.15443e+06	4.64158e-07	2.32079e-07	2	6.93889e-18	1.82509e-20	0.105581	-0.00253379
Ridge	3	3.59381e+07	2.78256e-08	1.39128e-08	1	6.93889e-18	1.51004e-16	0.105581	-0.00253421
Ridge	3	5.99484e+08	1.6681e-09	8.3405e-10	1	6.93889e-18	5.42679e-19	0.105581	-0.00253424
Ridge	3	1e+10	1e-10	5e-11	1	6.93889e-18	1.95026e-21	0.105581	-0.00253424
OLS	4	0	0.471831	0.235915	683	3.88578e-16	3.30449e-07	0.0324393	0.691977
Ridge	4	0.1	0.450571	0.225286	215	3.88578e-16	9.78128e-08	0.0475448	0.548544
Ridge	4	1.6681	0.264026	0.132013	24	3.88578e-16	8.32305e-09	0.0717062	0.319122
Ridge	4	27.8256	0.0333946	0.0166973	6	3.88578e-16	1.05806e-10	0.100359	0.047055
Ridge	4	464.159	0.00214464	0.00107232	3	3.88578e-16	5.13105e-12	0.105238	0.000724186
Ridge	4	7742.64	0.00012912	6.45598e-05	2	3.88578e-16	2.69798e-13	0.105561	-0.00233778
Ridge	4	129155	7.74251e-06	3.87125e-06	2	3.88578e-16	5.81571e-17	0.10558	-0.00252246
Ridge	4	2.15443e+06	4.64158e-07	2.32079e-07	2	3.88578e-16	1.24673e-20	0.105581	-0.00253353
Ridge	4	3.59381e+07	2.78256e-08	1.39128e-08	1	3.88578e-16	6.52538e-17	0.105581	-0.0025342
Ridge	4	5.99484e+08	1.6681e-09	8.3405e-10	1	3.88578e-16	2.3451e-19	0.105581	-0.00253424
Ridge	4	1e+10	1e-10	5e-11	1	3.88578e-16	8.42781e-22	0.105581	-0.00253424
OLS	5	0	0.349778	0.174889	4647	3.88578e-16	4.20967e-06	0.0324938	0.691459
Ridge	5	0.1	0.337957	0.168978	283	3.88578e-16	1.337e-07	0.0475438	0.548553
Ridge	5	1.6681	0.220894	0.110447	30	3.88578e-16	1.00048e-08	0.0717143	0.319045
Ridge	5	27.8256	0.0325897	0.0162948	6	3.88578e-16	5.73451e-10	0.100378	0.0468715
Ridge	5	464.159	0.00214125	0.00107062	3	3.88578e-16	1.58038e-11	0.10524	0.000710117
Ridge	5	7742.64	0.000129107	6.45536e-05	2	3.88578e-16	7.98396e-13	0.105561	-0.00233864
Ridge	5	129155	7.74247e-06	3.87123e-06	2	3.88578e-16	1.72145e-16	0.10558	-0.00252251
Ridge	5	2.15443e+06	4.64158e-07	2.32079e-07	2	3.88578e-16	3.70577e-20	0.105581	-0.00253354
Ridge	5	3.59381e+07	2.78256e-08	1.39128e-08	1	3.88578e-16	1.86026e-16	0.105581	-0.0025342
Ridge	5	5.99484e+08	1.6681e-09	8.3405e-10	1	3.88578e-16	6.68543e-19	0.105581	-0.00253424
Ridge	5	1e+10	1e-10	5e-11	1	3.88578e-16	2.40262e-21	0.105581	-0.00253424
OLS	6	0	0.315969	0.157984	10000	3.88578e-16	0.00617124	0.021937	0.791699
Ridge	6	0.1	0.306291	0.153146	382	3.88578e-16	2.42141e-07	0.0447594	0.574992
Ridge	6	1.6681	0.206912	0.103456	32	3.88578e-16	1.19515e-08	0.0717233	0.318959
Ridge	6	27.8256	0.032268	0.016134	7	3.88578e-16	1.54211e-10	0.099282	0.0572787
Ridge	6	464.159	0.00213984	0.00106992	3	3.88578e-16	2.89347e-11	0.105151	0.00154651
Ridge	6	7742.64	0.000129102	6.45511e-05	2	3.88578e-16	1.01357e-12	0.105555	-0.00228758
Ridge	6	129155	7.74245e-06	3.87122e-06	2	3.88578e-16	2.1854e-16	0.10558	-0.00251944
Ridge	6	2.15443e+06	4.64158e-07	2.32079e-07	2	3.88578e-16	4.7103e-20	0.105581	-0.00253335
Ridge	6	3.59381e+07	2.78256e-08	1.39128e-08	1	3.88578e-16	1.45901e-16	0.105581	-0.00253419
Ridge	6	5.99484e+08	1.6681e-09	8.3405e-10	1	3.88578e-16	5.2434e-19	0.105581	-0.00253424
Ridge	6	1e+10	1e-10	5e-11	1	3.88578e-16	1.88437e-21	0.105581	-0.00253424
OLS	7	0	0.260942	0.130471	10000	3.88578e-16	0.229698	0.0219955	0.791144
Ridge	7	0.1	0.254306	0.127153	454	3.88578e-16	2.93366e-07	0.0447587	0.574999
Ridge	7	1.6681	0.181806	0.090903	37	3.88578e-16	1.49914e-08	0.0717249	0.318944
Ridge	7	27.8256	0.0315877	0.0157939	7	3.88578e-16	5.29165e-10	0.0993036	0.0570744
Ridge	7	464.159	0.00213679	0.0010684	3	3.88578e-16	5.53132e-11	0.105153	0.00152902
Ridge	7	7742.64	0.000129091	6.45455e-05	2	3.88578e-16	1.7774e-12	0.105555	-0.00228865
Ridge	7	129155	7.74241e-06	3.8712e-06	2	3.88578e-16	3.83315e-16	0.10558	-0.00251951
Ridge	7	2.15443e+06	4.64158e-07	2.32079e-07	2	3.88578e-16	8.24931e-20	0.105581	-0.00253336
Ridge	7	3.59381e+07	2.78256e-08	1.39128e-08	1	3.88578e-16	2.54613e-16	0.105581	-0.00253419
Ridge	7	5.99484e+08	1.6681e-09	8.3405e-10	1	3.88578e-16	9.1503e-19	0.105581	-0.00253424
Ridge	7	1e+10	1e-10	5e-11	1	3.88578e-16	3.28842e-21	0.105581	-0.00253424
OLS	8	0	0.237002	0.118501	10000	3.88578e-16	6.76203	0.0226586	0.784848
Ridge	8	0.1	0.231515	0.115758	501	3.88578e-16	2.98436e-07	0.0446102	0.576409
Ridge	8	1.6681	0.169852	0.0849262	39	3.88578e-16	1.76249e-08	0.0719211	0.317081
Ridge	8	27.8256	0.0312062	0.0156031	7	3.88578e-16	1.15892e-09	0.0985636	0.0641011
