d	params	MSE	R2
1	[0.00180486]	0.105516	-0.00494864
2	[-0.000234258, -0.208614]	0.0476379	0.546289
3	[0.0445871, -0.210343, -0.0488404]	0.0479791	0.543039
4	[0.0296101, -0.730283, -0.0206797, 0.541816]	0.0259459	0.752887
5	[0.097626, -0.730898, -0.237942, 0.543747, 0.158432]	0.0265651	0.74699
6	[0.082358, -1.4077, -0.213059, 2.38964, 0.137394, -1.21355]	0.0172393	0.83581
7	[0.108176, -1.4054, -0.374476, 2.38291, 0.429101, -1.20935, -0.156868]	0.0174084	0.834199
8	[0.0952686, -2.20664, -0.393116, 6.38275, 0.535064, -7.43671, -0.232933, 3.03523]	0.0142287	0.864484
9	[0.101554, -2.2048, -0.457838, 6.37283, 0.744107, -7.4203, -0.49391, 3.02685, 0.110733]	0.0142908	0.863892
10	[0.0602156, -2.91618, -0.203804, 11.9855, 0.210075, -22.6366, -0.0639144, 19.9315, 0.00455866, -6.6025]	0.0131353	0.874898
11	[0.0278576, -2.92167, 0.285199, 12.0079, -2.21241, -22.671, 5.07381, 19.9559, -4.86968, -6.6103, 1.70286]	0.0130386	0.875819
12	[0.00360355, -3.69971, 0.379585, 20.8334, -2.2222, -58.7317, 4.74411, 86.9616, -4.43717, -64.3458, 1.53362, 18.7448]	0.0110044	0.895192
13	[0.00875913, -3.69988, 0.27133, 20.8372, -1.45925, -58.743, 2.32592, 86.9751, -0.627812, -64.3532, -1.38337, 18.7464, 0.866105]	0.0109923	0.895307
14	[0.00913503, -4.07699, 0.172036, 26.758, -0.62196, -93.0829, -0.50518, 182.327, 3.97705, -200.925, -4.96435, 116.083, 1.93743, -27.323]	0.0107379	0.897731
15	[-0.0139712, -4.07832, 0.794201, 26.803, -6.40429, -93.4902, 24.5765, 183.743, -53.4516, -203.24, 66.6074, 117.882, -43.9612, -27.86, 11.8574]	0.0107119	0.897978
