d	lambda	params	MSE	R2
1	0.1	[0.00146319]	0.181683	-0.0287083
1	1.6681	[0.000603242]	0.181509	-0.0277232
1	27.8256	[5.58362e-05]	0.181399	-0.0271012
1	464.159	[3.46013e-06]	0.181389	-0.0270419
1	7742.64	[2.07849e-07]	0.181388	-0.0270383
1	129155	[1.24618e-08]	0.181388	-0.027038
1	2.15443e+06	[7.47068e-10]	0.181388	-0.027038
1	3.59381e+07	[4.47856e-11]	0.181388	-0.027038
1	5.99484e+08	[2.68483e-12]	0.181388	-0.027038
1	1e+10	[1.60951e-13]	0.181388	-0.027038
2	0.1	[-0.00244067, -0.162363]	0.0938853	0.468411
2	1.6681	[-6.0076e-05, -0.0669153]	0.135787	0.231156
2	27.8256	[5.01534e-05, -0.00619359]	0.176614	-8.76108e-06
2	464.159	[3.43831e-06, -0.000383815]	0.181089	-0.0253446
2	7742.64	[2.07771e-07, -2.30557e-05]	0.18137	-0.0269362
2	129155	[1.24615e-08, -1.38232e-06]	0.181387	-0.0270319
2	2.15443e+06	[7.47067e-10, -8.28686e-08]	0.181388	-0.0270377
2	3.59381e+07	[4.47856e-11, -4.96785e-09]	0.181388	-0.027038
2	5.99484e+08	[2.68483e-12, -2.97815e-10]	0.181388	-0.027038
2	1e+10	[1.60951e-13, -1.78535e-11]	0.181388	-0.027038
3	0.1	[-0.0254759, -0.164704, 0.0274235]	0.0912726	0.483205
3	1.6681	[-2.03389e-05, -0.0669118, -0.000114927]	0.135783	0.231183
3	27.8256	[5.5399e-05, -0.00619317, -0.000164039]	0.176583	0.000166694
3	464.159	[3.46002e-06, -0.000383813, -1.09576e-05]	0.181086	-0.0253318
3	7742.64	[2.07849e-07, -2.30557e-05, -6.61176e-07]	0.18137	-0.0269355
3	129155	[1.24618e-08, -1.38232e-06, -3.96519e-08]	0.181387	-0.0270319
3	2.15443e+06	[7.47068e-10, -8.28686e-08, -2.37712e-09]	0.181388	-0.0270376
3	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10]	0.181388	-0.027038
3	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12]	0.181388	-0.027038
3	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13]	0.181388	-0.027038
4	0.1	[-0.0257492, -0.249177, 0.0241881, 0.0979915]	0.0791154	0.55204
4	1.6681	[-8.83566e-05, -0.0572455, 0.000675024, -0.0271941]	0.131556	0.255113
4	27.8256	[5.6629e-05, -0.00605463, -0.000149746, -0.00420232]	0.174372	0.012684
4	464.159	[3.46619e-06, -0.000383258, -1.08989e-05, -0.000272033]	0.180931	-0.0244494
4	7742.64	[2.07872e-07, -2.30537e-05, -6.60963e-07, -1.63853e-05]	0.18136	-0.026882
4	129155	[1.24618e-08, -1.38231e-06, -3.96511e-08, -9.82553e-07]	0.181386	-0.0270287
4	2.15443e+06	[7.47069e-10, -8.28686e-08, -2.37712e-09, -5.89035e-08]	0.181388	-0.0270375
4	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09]	0.181388	-0.027038
4	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10]	0.181388	-0.027038
4	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11]	0.181388	-0.027038
5	0.1	[-0.0257483, -0.249127, 0.0257291, 0.0979995, -0.0017579]	0.0791813	0.551667
5	1.6681	[0.000121155, -0.0572225, 0.000976413, -0.0271676, -0.00103548]	0.131581	0.254973
5	27.8256	[6.54964e-05, -0.00605357, -0.000139009, -0.00420102, -0.000328654]	0.174317	0.0129988
5	464.159	[3.50561e-06, -0.000383253, -1.08516e-05, -0.000272027, -2.27509e-05]	0.180926	-0.024423
5	7742.64	[2.08016e-07, -2.30537e-05, -6.60791e-07, -1.63853e-05, -1.37616e-06]	0.18136	-0.0268804
5	129155	[1.24624e-08, -1.38231e-06, -3.96505e-08, -9.82553e-07, -8.25432e-08]	0.181386	-0.0270286
5	2.15443e+06	[7.47071e-10, -8.28686e-08, -2.37712e-09, -5.89035e-08, -4.94849e-09]	0.181388	-0.0270375
5	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10]	0.181388	-0.027038
5	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11]	0.181388	-0.027038
5	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12]	0.181388	-0.027038
6	0.1	[-0.0295718, -0.259141, 0.0259671, 0.0160681, -0.000606971, 0.101735]	0.0723464	0.590366
6	1.6681	[0.000153433, -0.0551718, 0.00112791, -0.024553, -0.000873561, -0.00915998]	0.131632	0.254685
