d	params	MSE	R2
0	[0]	0.21139	-0.821434
1	[0, 0.0213432]	0.208909	-0.800058
2	[0, 0.00628858, -0.25799]	0.114327	0.0149038
3	[0, 0.0617631, -0.257616, -0.0589106]	0.115549	0.00437764
4	[0, -0.00128259, -0.742045, 0.00702034, 0.500343]	0.107249	0.075891
5	[0, -0.130622, -0.764311, 0.41667, 0.517983, -0.292648]	0.108701	0.0633779
6	[0, -0.142587, -1.49548, 0.333348, 2.48175, -0.201014, -1.27176]	0.0969478	0.164652
7	[0, -0.109954, -1.505, 0.109008, 2.50443, 0.205714, -1.28399, -0.216193]	0.0969399	0.16472
8	[0, -0.103116, -2.26094, 0.258451, 6.44959, -0.179946, -7.53115, 0.0111618, 3.06513]	0.102379	0.117853
9	[0, -0.122683, -2.26582, 0.486733, 6.47425, -0.931578, -7.56734, 0.949525, 3.08157, -0.396336]	0.101489	0.125527
10	[0, -0.0687227, -3.76187, 0.205745, 19.2809, 0.541882, -43.4146, -1.44884, 43.5162, 0.782483, -15.9171]	0.0831447	0.283586
11	[0, -0.181038, -3.74878, 2.13703, 19.0602, -9.47701, -42.8708, 20.1681, 43.0508, -19.8632, -15.7915, 7.22907]	0.0886702	0.235976
12	[0, -0.161931, -4.16546, 2.02678, 23.9452, -9.18491, -62.7555, 19.7923, 79.4692, -19.6174, -46.6294, 7.15822, 9.8357]	0.0864555	0.255059
13	[0, -0.158474, -4.16201, 1.93204, 23.9105, -8.44752, -62.6121, 17.3669, 79.2013, -15.7548, -46.3997, 4.20443, 9.76176, 0.870533]	0.0861136	0.258005
14	[0, -0.131204, -5.20658, 1.81157, 40.8778, -7.91986, -163.508, 13.6838, 363.195, -6.39352, -455.168, -5.32019, 300.776, 4.28106, -81.2716]	0.0885967	0.236609
15	[0, -0.240454, -5.26701, 5.92826, 41.1123, -51.6351, -163.151, 217.405, 360.884, -493.787, -452.033, 619.555, 299.294, -403.886, -81.1468, 106.676]	0.0818579	0.294674
